household_id,person_id,LONGDIST,main_mode_of_transport,international_trip,num_people_on_long_distance_trip,person_1_on_long_distance_trip,person_2_on_long_distance_trip,person_3_on_long_distance_trip,person_4_on_long_distance_trip,person_5_on_long_distance_trip,person_6_on_long_distance_trip,person_7_on_long_distance_trip,person_8_on_long_distance_trip,person_9_on_long_distance_trip,person_10_on_long_distance_trip,reason_for_travel,num_used_amtrak_last_year,num_used_intracity_bus_last_year,long_distance_trip,begin_trip_date,ENDTRIP,num_nights_away_from_home,trip_includes_weekend,date_of_most_recent_trip,farthest_census_division_traveled,farthest_census_region_traveled,great_circle_distance_traveled,airport_size,exit_census_division,great_circle_distance_longer_than_50_miles,num_adults_in_household,own_or_rent_home,metro_rail_status,census_division,census_region,hispanic,num_drivers_in_household,household_grouping,household_income,household_income_imputed,race,household_size,num_vehicles_in_household,LIF_CYC,metro_area_category,metro_area_size,travel_day_of_week,household_urban_classification,household_urban_size,household_urban_rural,travel_day_date,WRKCOUNT,household_stratum_id,person_weight_7_day,person_weight_5_day,person_weight_2_day,respondent_age,respondent_sex,worker_status,DRIVER,respondent_race,respondent_hispanic,proxy_respondent,education_level,respondent_sex_imputed
9000146667,01,0,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,08,04,350.4860949,-1,-1,01,2,03,02,08,04,02,1,82,05,05,01,2,1,02,02,04,02,01,05,01,202210,1,1035,7429.2274078,10856.873873,0,29,01,01,01,01,02,01,04,01
9000146667,02,0,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,08,04,350.4860949,-1,-1,01,2,03,02,08,04,02,1,82,05,05,01,2,1,02,02,04,02,01,05,01,202210,1,1035,1858.5717944,2680.6413635,0,31,02,02,02,01,01,01,06,02
9000146675,01,1,14,01,1,01,02,-9,-9,-9,-9,-9,-9,-9,-9,01,0,0,02,202211,202211,3,02,202211,09,04,902.6587729,-1,-1,01,1,01,02,08,04,02,1,83,08,08,02,2,1,05,03,03,07,01,03,01,202211,1,1035,9657.5330029,0,31189.2832248615,46,02,01,01,02,02,01,08,02
9000146675,02,0,14,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,09,04,659.6846192,-1,-1,01,1,01,02,08,04,02,1,83,08,08,02,2,1,05,03,03,07,01,03,01,202211,1,1035,8386.5264541,0,40925.4601053211,7,01,-1,-1,01,02,02,-1,01
9000146691,01,0,01,01,4,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,03,02,765.8982097,-1,-1,01,3,01,02,06,03,02,2,63,03,03,02,3,2,02,03,01,07,02,06,01,202211,0,1031,4963.3125737,0,11348.5758535456,45,02,02,01,02,02,01,05,02
9000146691,02,0,01,01,2,01,01,02,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,-9,-9,-9,-9,-9,06,03,158.1488418,-1,-1,01,3,01,02,06,03,02,2,63,03,03,02,3,2,02,03,01,07,02,06,01,202211,0,1031,4723.1466123,0,10262.4966177431,25,01,02,02,02,02,01,04,01
9000146691,03,1,01,01,2,-9,-9,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,202211,202211,0,03,202211,06,03,73.95181766,-1,-1,01,3,01,02,06,03,02,2,63,03,03,02,3,2,02,03,01,07,02,06,01,202211,0,1031,6536.936482,0,16973.9045019031,54,01,02,01,02,02,01,03,01
9000146694,01,1,02,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,202210,202210,0,03,202210,03,02,53.20447684,-1,-1,01,2,01,02,03,02,02,2,33,07,07,01,2,2,10,03,01,03,04,06,02,202211,1,1026,16653.87188,24141.379735,0,64,02,01,01,01,02,01,03,02
9000146694,02,1,02,01,1,02,01,-9,-9,-9,-9,-9,-9,-9,-9,04,0,0,02,202210,202210,0,03,202210,03,02,53.20447684,-1,-1,01,2,01,02,03,02,02,2,33,07,07,01,2,2,10,03,01,03,04,06,02,202211,1,1026,8692.0346711,12360.913118,0,70,01,02,01,01,02,01,03,01
9000146695,01,2,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,202210,202210,1,03,202210,04,02,150.3871728,-1,-1,01,2,02,02,04,02,02,2,42,05,05,01,2,2,02,02,05,05,01,05,01,202211,2,1027,4211.000288,5011.2551499,0,47,02,01,01,01,02,01,06,02
